,Predictions
2022-11-18,1118.290004185274
2022-11-19,1373.5999755859375
2022-11-20,1079.3924865722656
2022-11-21,953.4680325317382
2022-11-22,1515.7999877929688
2022-11-23,2379.243439453125
2022-11-24,4350.374966796875
2022-11-25,1758.9673193359374
2022-11-26,1409.683984374987
2022-11-27,3730.5229165039063
2022-11-28,1391.2174987792969
2022-11-29,1122.3228410993365
2022-11-30,1320.510009765625
2022-12-01,2039.688629638672
2022-12-02,4167.58984375
2022-12-03,878.4099934895778
2022-12-04,1512.6649780273438
2022-12-05,939.0966796875
2022-12-06,1433.3349914550781
2022-12-07,1313.093994140625
2022-12-08,3942.2054223632813
2022-12-09,1539.88983984375
2022-12-10,1097.7250366210938
2022-12-11,2049.7721525878906
2022-12-12,1656.36290234375
2022-12-13,3380.2330078125
2022-12-14,1402.048895941825
2022-12-15,1273.5966389973962
2022-12-16,1007.8400268554688
2022-12-17,4005.4625302734376
2022-12-18,984.3640112304688
2022-12-19,1248.1749877929688
2022-12-20,1208.2850341796875
2022-12-21,2438.6375122070312
2022-12-22,838.1138243408203
2022-12-23,1092.8340087890524
2022-12-24,1977.800048828125
2022-12-25,1134.42333984375
2022-12-26,2779.516298828125
2022-12-27,2407.803505859375
2022-12-28,3942.5588427734374
2022-12-29,1756.0317036132813
2022-12-30,3799.461679199219
2022-12-31,1476.966745361328
2023-01-01,1191.5299987792969
2023-01-02,1062.7370454101563
2023-01-03,1569.406193359375
2023-01-04,3273.7171459960937
2023-01-05,2584.705087890625
2023-01-06,4359.791598632813
2023-01-07,1416.8116658528688
2023-01-08,1111.2138227539062
2023-01-09,2899.378650390625
2023-01-10,1367.5733235677114
2023-01-11,1216.9814057617189
2023-01-12,2500.22998046875
2023-01-13,1389.66987890625
2023-01-14,2474.3709814453123
2023-01-15,928.8900146484375
2023-01-16,3370.983571777344
2023-01-17,1210.249982561382
2023-01-18,1365.6280273437628
2023-01-19,1827.9195703125
2023-01-20,1556.4994497070313
2023-01-21,1003.3075103759766
2023-01-22,1486.7796206054688
2023-01-23,1224.4574890136719
2023-01-24,1419.6399536132812
2023-01-25,1183.6275177001953
2023-01-26,1139.28662109375
2023-01-27,2572.07113671875
2023-01-28,1487.8883637695312
2023-01-29,1211.8750305175781
2023-01-30,1874.0743654785156
2023-01-31,1282.0420561523438
2023-02-01,3023.990852050781
2023-02-02,712.7913118896485
2023-02-03,1409.683984374987
2023-02-04,2664.5533681640627
2023-02-05,1831.3699951171875
2023-02-06,1148.0549926757812
2023-02-07,1203.0
2023-02-08,787.098029296875
2023-02-09,1787.0853210449218
2023-02-10,1432.1499938964844
2023-02-11,2108.72998046875
2023-02-12,1292.2974316406246
2023-02-13,2151.6776572265626
2023-02-14,3431.2736284179687
2023-02-15,1979.1347185058594
2023-02-16,1102.714986165359
2023-02-17,1964.2730278320312
2023-02-18,1124.8533121744838
2023-02-19,2057.919921875
2023-02-20,2803.47998046875
2023-02-21,1308.0900065104152
2023-02-22,1388.8199462890625
2023-02-23,1930.949276123047
2023-02-24,4402.63171875
2023-02-25,879.5112533569336
2023-02-26,2063.949951171875
2023-02-27,1134.48306640625
2023-02-28,2465.10009765625
2023-03-01,1409.1581920277072
2023-03-02,1931.2220595703125
2023-03-03,1134.48306640625
2023-03-04,2798.2567578125
2023-03-05,1126.3571254185347
2023-03-06,1253.5450134277344
2023-03-07,1851.9978757324218
2023-03-08,1194.1259765625
2023-03-09,806.9332663574219
2023-03-10,2814.423369140625
2023-03-11,2506.88330078125
2023-03-12,1153.3150024414062
2023-03-13,2268.889892578125
2023-03-14,1613.6928686523438
2023-03-15,1535.374396484375
2023-03-16,996.8866577148438
2023-03-17,1212.4299926757812
2023-03-18,1164.1950073242188
2023-03-19,2447.604078125
2023-03-20,2050.8464086914064
